"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
1011;"돈까스 오마주";"#로맨스#드라마";"https://www.lezhin.com/ko/comic/cutlet_homage";1;1;1;"https://ccdn.lezhin.com/v2/comics/5703883652136960/images/wide.webp?updated=1694253404706&width=554 2x";2;0
1012;"이세계 키잡마녀";"#판타지";"https://www.lezhin.com/ko/comic/witch";1;1;1;"https://ccdn.lezhin.com/v2/comics/5197616999366656/images/wide.webp?updated=1697679616930&width=554 2x";2;0
1013;"무명의 등불";"#판타지#로맨스#드라마";"https://www.lezhin.com/ko/comic/from_nothing";0;0;1;"https://ccdn.lezhin.com/v2/comics/4593648627417088/images/wide.webp?updated=1645171344114&width=554 2x";2;0
1014;"꽃은 꽃으로, 잎은 잎으로";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/flower_leaf";1;0;1;"https://ccdn.lezhin.com/v2/comics/5231277554073600/images/wide.webp?updated=1697787206755&width=554 2x";2;0
1015;"그 남자가 대신 시집간 사정";"#로맨스";"https://www.lezhin.com/ko/comic/reason_of_marriage";0;1;1;"https://ccdn.lezhin.com/v2/comics/5254360371363840/images/wide.webp?updated=1699524207540&width=554 2x";2;0
1016;"박씨유대기";"#판타지#학원#코미디/일상";"https://www.lezhin.com/ko/comic/waitmrpark";0;0;1;"https://ccdn.lezhin.com/v2/comics/6727405857669120/images/wide.webp?updated=1698738386894&width=554 2x";2;0
1017;"커튼콜 아래그랑";"#판타지";"https://www.lezhin.com/ko/comic/curtain_call";0;0;1;"https://ccdn.lezhin.com/v2/comics/5/images/wide.webp?updated=1677026806565&width=554 2x";2;0
1018;"표준규격전사";"#액션#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/standardheroes";0;0;1;"https://ccdn.lezhin.com/v2/comics/4733152235356160/images/wide.webp?updated=1626417540383&width=554 2x";2;0
1019;"도깨비도 수풀이 있어야 모인다[개정판]";"#판타지#로맨스";"https://www.lezhin.com/ko/comic/bush_15";0;0;1;"https://ccdn.lezhin.com/v2/comics/5612748599263232/images/wide.webp?updated=1622599764584&width=554 2x";2;0
1020;"던전 속 사정[개정판]";"#판타지#코미디/일상";"https://www.lezhin.com/ko/comic/dungeon_15";0;0;1;"https://ccdn.lezhin.com/v2/comics/5145070025637888/images/wide.webp?updated=1613454282280&width=554 2x";2;0
1021;"3월의 보름을 조심하라 [개정판]";"#로맨스";"https://www.lezhin.com/ko/comic/boreum_15";1;1;1;"https://ccdn.lezhin.com/v2/comics/6374935250141184/images/wide.webp?updated=1691058522870&width=554 2x";2;0
1022;"장미성의 엘레지";"#판타지#로맨스#드라마";"https://www.lezhin.com/ko/comic/elegy";0;0;1;"https://ccdn.lezhin.com/v2/comics/5903641816137728/images/wide.webp?updated=1691059188440&width=554 2x";2;0
1023;"천지해";"#판타지#드라마";"https://www.lezhin.com/ko/comic/cheonjihae";0;0;1;"https://ccdn.lezhin.com/v2/comics/59/images/wide.webp?updated=1684308671948&width=554 2x";2;0
