"Toon_idx";"Toon_name";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_exist";"Toon_imagelink";"Toon_platform";"Toon_likes"
23;"세이렌: 악당과 계약 가족이 되었다";"#로맨스";"https://webtoon.kakao.com/content/세이렌: 악당과 계약 가족이 되었다/2745";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2745/sharing/2x/9b8de433-d03a-4b4a-86af-1b9047af6d8d.jpg";3;0
24;"유부녀의 탄생";"#판타지#학원";"https://webtoon.kakao.com/content/유부녀의 탄생/1078";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/1078/sharing/2x/c372c2cf-c5f8-414b-b8a3-d06bf6843377.jpg";3;0
25;"철혈검가 사냥개의 회귀";"#판타지#학원";"https://webtoon.kakao.com/content/철혈검가 사냥개의 회귀/3455";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3455/sharing/2x/344e9cd2-e31d-47bc-a604-4c7b4958f190.jpg";3;0
26;"하필이면 까마귀가 되어버렸다";"#판타지#학원";"https://webtoon.kakao.com/content/하필이면 까마귀가 되어버렸다/2748";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2748/sharing/2x/dc27381b-ba2a-4586-a31d-12d561057395.jpg";3;0
27;"너하고만 하고 싶은";"#판타지#로맨스";"https://webtoon.kakao.com/content/너하고만 하고 싶은/3384";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3384/sharing/2x/647c8787-668c-47ff-a65d-c7090f3f967d.jpg";3;0
28;"악당들에게 키워지는 중입니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/악당들에게 키워지는 중입니다/3507";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3507/sharing/2x/b356e1b9-7efb-4221-b73a-5a2a7d4ed3df.jpg";3;0
29;"망할 가문을 살려보겠습니다";"#판타지#로맨스";"https://webtoon.kakao.com/content/망할 가문을 살려보겠습니다/2381";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2381/sharing/2x/18f44b78-5906-4416-9c9a-58ed5c5cc4fc.jpg";3;0
30;"재활용 머학생";"#판타지#드라마";"https://webtoon.kakao.com/content/재활용 머학생/3352";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3352/sharing/2x/6ff43fa4-660e-43c7-bc82-2aeebf826c77.jpg";3;0
31;"두 번째 남편";"#액션";"https://webtoon.kakao.com/content/두 번째 남편/3196";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3196/sharing/2x/e15a71ed-73db-4d03-ac0c-5879adeeac72.jpg";3;0
32;"책 먹는 마법사";"#판타지#로맨스";"https://webtoon.kakao.com/content/책 먹는 마법사/2658";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2658/sharing/2x/3c044faa-0e0b-4bdc-987e-e18a6f9e0548.jpg";3;0
33;"더 그레이트";"#판타지#로맨스";"https://webtoon.kakao.com/content/더 그레이트/3682";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3682/sharing/2x/c5048590-cca3-4cda-a195-d909b32cb943.jpg";3;0
34;"악당 공작가의 실세 막내딸입니다";"#로맨스";"https://webtoon.kakao.com/content/악당 공작가의 실세 막내딸입니다/3441";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3441/sharing/2x/99c5a067-1267-4917-a9f5-f2d59bb4205b.jpg";3;0
35;"화산권마";"#판타지#드라마";"https://webtoon.kakao.com/content/화산권마/2469";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2469/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
36;"대공가에 입양된 성녀님";"#판타지#드라마";"https://webtoon.kakao.com/content/대공가에 입양된 성녀님/3524";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3524/sharing/2x/d3bc5504-cbb7-470b-8221-5c3e33291587.jpg";3;0
37;"강호표사";"#드라마";"https://webtoon.kakao.com/content/강호표사/1931";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/1931/sharing/2x/eacb00ec-9034-42cb-a533-7c7690741113.jpg";3;0
38;"흑막을 치료하고 도망쳐버렸다";"#판타지#로맨스";"https://webtoon.kakao.com/content/흑막을 치료하고 도망쳐버렸다/3309";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3309/sharing/2x/1d52b94d-40f7-4288-9118-0334c56b01b0.jpg";3;0
39;"마녀의 딸이 남주의 저주를 풀면";"#판타지#학원";"https://webtoon.kakao.com/content/마녀의 딸이 남주의 저주를 풀면/3702";0;1;1;"https://kr-a.kakaopagecdn.com/P/C/3702/sharing/2x/1d030c31-f92c-4056-9003-d96ca3910bd2.jpg";3;0
40;"오늘부터 황녀?!";"#판타지#학원";"https://webtoon.kakao.com/content/오늘부터 황녀?!/2630";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2630/sharing/2x/30cb8eb7-d284-4a07-9edf-b229736c3220.jpg";3;0
41;"후작가의 역대급 막내아들";"#판타지#로맨스";"https://webtoon.kakao.com/content/후작가의 역대급 막내아들/2901";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2901/sharing/2x/856cda78-f7be-4003-adab-fae4aff4eda9.jpg";3;0
42;"튜토리얼이 너무 어렵다";"#판타지#드라마";"https://webtoon.kakao.com/content/튜토리얼이 너무 어렵다/2467";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2467/sharing/2x/9f113a0c-0b61-486d-bb6a-1dca887805a4.jpg";3;0
43;"더 라이브";"#로맨스";"https://webtoon.kakao.com/content/더 라이브/2528";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2528/sharing/2x/4dc7e468-10e7-4445-ba74-1735b11a2a07.jpg";3;0
44;"가짜는 진짜가 되기를 바라지 않는다";"#로맨스";"https://webtoon.kakao.com/content/가짜는 진짜가 되기를 바라지 않는다/3454";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3454/sharing/2x/0b52e902-1572-42c7-847d-3c21e77fe23c.jpg";3;0
45;"카르세아린";"#판타지#로맨스";"https://webtoon.kakao.com/content/카르세아린/3294";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3294/sharing/2x/387897a2-ef18-4f81-91c1-dfa9735c901b.jpg";3;0
46;"레벨업 닥터 최기석";"#판타지#로맨스";"https://webtoon.kakao.com/content/레벨업 닥터 최기석/3237";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3237/sharing/2x/43a5627c-f47b-449a-b1b7-a59cd3def526.jpg";3;0
47;"적기사는 눈먼 돈을 좇지 않는다";"#판타지#로맨스";"https://webtoon.kakao.com/content/적기사는 눈먼 돈을 좇지 않는다/2524";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2524/sharing/2x/349d5a91-880e-4734-b5f8-249d918f30b6.jpg";3;0
48;"아기 다람쥐가 다 잘해요";"#액션";"https://webtoon.kakao.com/content/아기 다람쥐가 다 잘해요/3138";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3138/sharing/2x/6ae45e98-1bbc-4bc7-b7e3-d19f7d613277.jpg";3;0
49;"버림받고 즐기는 소박한 독신의 삶";"#판타지#로맨스";"https://webtoon.kakao.com/content/버림받고 즐기는 소박한 독신의 삶/3482";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3482/sharing/2x/26f8d54d-6282-4f54-86ee-f4c09846828d.jpg";3;0
50;"엑스트라는 가장 먼저 버려진다";"#액션";"https://webtoon.kakao.com/content/엑스트라는 가장 먼저 버려진다/3218";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/3218/sharing/2x/da7c58a3-3d76-4dac-aba7-5408549a0d52.jpg";3;0
51;"나태한 소드마스터";"#판타지#학원";"https://webtoon.kakao.com/content/나태한 소드마스터/2916";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2916/sharing/2x/d8db8e87-3d0d-480a-ba48-3c67ee7a8724.jpg";3;0
52;"비선실세 레이디";"#액션";"https://webtoon.kakao.com/content/비선실세 레이디/2694";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2694/sharing/2x/0725cdb1-14ad-4ac6-970f-1aa5a51b53d0.jpg";3;0
53;"빙의검신";"#액션";"https://webtoon.kakao.com/content/빙의검신/2983";0;0;1;"https://kr-a.kakaopagecdn.com/P/C/2983/sharing/2x/1baeccf2-31fc-40cb-908e-3003920d385a.jpg";3;0
