"toon_num";"N_toon";"Toon_category";"Toon_link";"Toon_platform";"Toon_likes";"Toon_update";"Toon_imagelink";"Toon_newupdate";"Toon_Hit_toon"
529;"완벽한 부부는 없다";" #로맨스/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=793374&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/793374/thumbnail/thumbnail_IMAG21_3775484551403496548.jpg";0;0
530;"좀비X슬래셔";" #액션/#아포칼립스/#히어로/#좀비/";"https://comic.naver.com/webtoon/list?titleId=808533&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/808533/thumbnail/thumbnail_IMAG21_9df8c3c3-bf3b-495a-9b42-ce97369c239b.jpg";0;0
531;"엑스애쉬";" #판타지/#게임판타지/#소년왕도물/";"https://comic.naver.com/webtoon/list?titleId=783814&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/783814/thumbnail/thumbnail_IMAG21_3472617502213103923.jpg";0;0
532;"홍시는 날 좋아해!";" #로맨스/#햇살캐/#까칠남/";"https://comic.naver.com/webtoon/list?titleId=703839&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/703839/thumbnail/thumbnail_IMAG21_5868239b-e1f5-4bcc-ad21-9dba1539d693.jpg";0;0
533;"아사";" #판타지/#2020 지상최대공모전/#동양풍판타지/";"https://comic.naver.com/webtoon/list?titleId=786496&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/786496/thumbnail/thumbnail_IMAG21_c3f8631d-abd5-48b8-9f72-25faafd32904.jpg";0;0
534;"나태 공자, 노력 천재 되다";" #판타지/#환골탈태/#소년왕도물/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=772853&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/772853/thumbnail/thumbnail_IMAG21_b39e6531-f358-4add-91b3-24f0017ec5d8.jpg";0;0
535;"더 해머";" #판타지/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=803794&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/803794/thumbnail/thumbnail_IMAG21_4a2de803-f18c-4f76-a0f4-d920f87e1f31.jpg";0;0
536;"복수를 위한 결혼동맹";" #로맨스/#소설원작/";"https://comic.naver.com/webtoon/list?titleId=794161&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/794161/thumbnail/thumbnail_IMAG21_b83324b0-799f-4125-8950-4498053474d4.jpg";0;0
537;"솔직하게 말해줘!";" #드라마/";"https://comic.naver.com/webtoon/list?titleId=814832&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/814832/thumbnail/thumbnail_IMAG21_fcbd14e7-9175-42d7-b845-f664c8f28ec0.jpg";1;0
538;"망겜의 현금술사";" #판타지/#러블리/#로맨스코미디/#2021 지상최대공모전/#힐링/#사이다/#게임판타지//";"https://comic.naver.com/webtoon/list?titleId=812645&tab=sat";1;0;0;"https://image-comic.pstatic.net/webtoon/812645/thumbnail/thumbnail_IMAG21_4815ef88-953d-4752-997e-45004ac3ae47.jpg";0;0
