"toon_num";"N_toon";"Toon_category";"Toon_link";"Toon_update";"Toon_newupdate";"Toon_Hit_toon";"Toon_imagelink";"Toon_platform";"Toon_likes"
0;"참교육";" #액션 #블루스트링 #사이다 #학원물 #먼치킨 #다크히어로 ";"https://comic.naver.com/webtoon/list?titleId=758037";0;0;0;"https://image-comic.pstatic.net/webtoon/758037/thumbnail/thumbnail_IMAG21_15cb2611-34c0-4f02-a689-41d0b1016579.jpg";1;0
1;"뷰티풀 군바리";" #드라마 #직업드라마 #밀리터리 ";"https://comic.naver.com/webtoon/list?titleId=648419";0;0;0;"https://image-comic.pstatic.net/webtoon/648419/thumbnail/thumbnail_IMAG21_d9398229-cbfd-47dc-9208-0a6fb936f3a7.jpg";1;0
2;"신의 탑";" #판타지 #세계관 #이능력배틀물 #소년왕도물 #먼치킨 ";"https://comic.naver.com/webtoon/list?titleId=183559";0;0;0;"https://image-comic.pstatic.net/webtoon/183559/thumbnail/thumbnail_IMAG21_5f3fec31-5c95-4afe-a73f-3046288edb47.jpg";1;0
3;"똑 닮은 딸";" #스릴러 #2020 지상최대공모전 #서스펜스 ";"https://comic.naver.com/webtoon/list?titleId=774866";0;0;0;"https://image-comic.pstatic.net/webtoon/774866/thumbnail/thumbnail_IMAG21_46cf2e65-7b7c-4fb7-8f54-0078456d8ff0.jpg";1;0
4;"백수세끼";" #드라마 #음식&요리 #감성드라마 ";"https://comic.naver.com/webtoon/list?titleId=733074";0;0;0;"https://image-comic.pstatic.net/webtoon/733074/thumbnail/thumbnail_IMAG21_80df3e76-47af-4007-b57c-e8f2830835e5.jpg";1;0
5;"퀘스트지상주의";" #드라마 #게임판타지 #학원물 ";"https://comic.naver.com/webtoon/list?titleId=783052";0;0;0;"https://image-comic.pstatic.net/webtoon/783052/thumbnail/thumbnail_IMAG21_800f4c56-26ac-419e-9ed0-baf322311dea.jpg";1;0
6;"장씨세가 호위무사";" #무협/사극 #사이다 #힘숨찐 #판무 #먼치킨 #소설원작 ";"https://comic.naver.com/webtoon/list?titleId=728750";0;0;0;"https://image-comic.pstatic.net/webtoon/728750/thumbnail/thumbnail_IMAG21_47c21251-b213-4882-bacc-15adce1acfc8.jpg";1;0
7;"윈드브레이커";" #스포츠 #스포츠성장 ";"https://comic.naver.com/webtoon/list?titleId=602910";0;0;0;"https://image-comic.pstatic.net/webtoon/602910/thumbnail/thumbnail_IMAG21_e861f2cf-6157-4d33-8e02-7b4cbf0a8baf.jpg";1;0
8;"소녀의 세계";" #드라마 #하이틴 #학원로맨스 #직진남 #삼각관계 #까칠남 #감성드라마 ";"https://comic.naver.com/webtoon/list?titleId=654774";0;0;0;"https://image-comic.pstatic.net/webtoon/654774/thumbnail/thumbnail_IMAG21_4048794550434817075.jpg";1;0
9;"버림받은 왕녀의 은밀한 침실";" ";"https://comic.naver.com/webtoon/list?titleId=796867";0;0;0;"https://image-comic.pstatic.net/webtoon/796867/thumbnail/thumbnail_IMAG21_77aa5064-b42b-4838-912e-2c6266c53a74.jpg";1;0
10;"신화급 귀속 아이템을 손에 넣었다";" #판타지 #아포칼립스 #사이다 #게임판타지 #회귀 #헌터물 #소년왕도물 #먼치킨   ";"https://comic.naver.com/webtoon/list?titleId=795297";0;0;0;"https://image-comic.pstatic.net/webtoon/795297/thumbnail/thumbnail_IMAG21_4134925888999731505.jpg";1;0
11;"우아한 욕망";" ";"https://comic.naver.com/webtoon/list?titleId=813552";0;0;0;"https://image-comic.pstatic.net/webtoon/813552/thumbnail/thumbnail_IMAG21_c81f8080-3781-4789-9411-a171d501b01a.jpg";1;0
12;"별난식당";" #드라마 #지금추천작 #힐링 #직업드라마 #음식&요리 #성장드라마 ";"https://comic.naver.com/webtoon/list?titleId=806189";0;0;0;"https://image-comic.pstatic.net/webtoon/806189/thumbnail/thumbnail_IMAG21_292de414-bd9a-418d-a4e9-d97060398223.jpg";1;0
13;"앵무살수";" #판타지 #판무 ";"https://comic.naver.com/webtoon/list?titleId=739115";0;0;0;"https://image-comic.pstatic.net/webtoon/739115/thumbnail/thumbnail_IMAG21_7077747896626722102.jpg";1;0
14;"절대검감";" #무협/사극 #환골탈태 #소설원작 ";"https://comic.naver.com/webtoon/list?titleId=796075";0;0;0;"https://image-comic.pstatic.net/webtoon/796075/thumbnail/thumbnail_IMAG21_31f75c4c-81c9-454a-8d92-9e23b577e1a5.jpg";1;0
15;"ㅋㅋ단편.zip";" #개그 ";"https://comic.naver.com/webtoon/list?titleId=814541";0;0;0;"https://image-comic.pstatic.net/webtoon/814541/thumbnail/thumbnail_IMAG21_18a2bffa-6c6e-4884-ab41-45b4646cabe3.jpg";1;0
